#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATF3	CREB1	9606.ENSP00000344352	9606.ENSP00000387699	0	0	0	0	0.063	0	0	0.815	0.820
ATF3	JUN	9606.ENSP00000344352	9606.ENSP00000360266	0	0	0	0	0.861	0.923	0.900	0.994	0.999
ATF7	ATF2	9606.ENSP00000399465	9606.ENSP00000264110	0	0	0	0.942	0	0.785	0	0.623	0.792
ATF7	FOSL2	9606.ENSP00000399465	9606.ENSP00000264716	0	0	0	0.586	0	0.872	0	0.469	0.895
ATF7	JUNB	9606.ENSP00000399465	9606.ENSP00000303315	0	0	0	0.575	0.065	0.764	0	0.425	0.809
ATF7	FOS	9606.ENSP00000399465	9606.ENSP00000306245	0	0	0	0	0	0.874	0	0.561	0.942
ATF7	JUN	9606.ENSP00000399465	9606.ENSP00000360266	0	0	0	0.600	0.065	0.851	0	0.715	0.896
BATF	CCND1	9606.ENSP00000286639	9606.ENSP00000227507	0	0	0	0	0	0	0.900	0.090	0.905
BATF	NANOG	9606.ENSP00000286639	9606.ENSP00000229307	0	0	0	0	0	0	0.900	0.074	0.903
BATF	TWIST1	9606.ENSP00000286639	9606.ENSP00000242261	0	0	0	0	0	0	0.900	0.085	0.904
BATF	BATF3	9606.ENSP00000286639	9606.ENSP00000243440	0	0	0	0.890	0.062	0.271	0.800	0.730	0.863
BATF	JUND	9606.ENSP00000286639	9606.ENSP00000252818	0	0	0	0	0.065	0.591	0	0.754	0.898
BATF	RORA	9606.ENSP00000286639	9606.ENSP00000261523	0	0	0	0	0	0.077	0.900	0.512	0.951
BATF	STAT3	9606.ENSP00000286639	9606.ENSP00000264657	0	0	0	0	0	0.281	0.900	0.757	0.981
BATF	BIRC5	9606.ENSP00000286639	9606.ENSP00000301633	0	0	0	0	0	0.062	0.900	0	0.902
BATF	PIM1	9606.ENSP00000286639	9606.ENSP00000362608	0	0	0	0	0.065	0.078	0.900	0	0.906
BATF	POU2F1	9606.ENSP00000286639	9606.ENSP00000356840	0	0	0	0	0	0.090	0.900	0.063	0.907
BATF	SOX2	9606.ENSP00000286639	9606.ENSP00000323588	0	0	0	0	0	0.124	0.900	0.119	0.916
BATF	FOXO3	9606.ENSP00000286639	9606.ENSP00000385824	0	0	0	0	0	0.057	0.900	0.188	0.916
BATF	ZEB1	9606.ENSP00000286639	9606.ENSP00000354487	0	0	0	0	0	0.152	0.900	0.103	0.917
BATF	FOS	9606.ENSP00000286639	9606.ENSP00000306245	0	0	0	0.748	0	0.213	0.900	0.503	0.927
BATF	MYC	9606.ENSP00000286639	9606.ENSP00000479618	0	0	0	0	0	0	0.900	0.310	0.928
BATF	CEBPD	9606.ENSP00000286639	9606.ENSP00000386165	0	0	0	0	0	0.302	0.900	0.146	0.935
BATF	FOXO1	9606.ENSP00000286639	9606.ENSP00000368880	0	0	0	0	0	0.057	0.900	0.411	0.939
BATF	HIF1A	9606.ENSP00000286639	9606.ENSP00000437955	0	0	0	0	0	0.144	0.900	0.479	0.951
BATF	BCL6	9606.ENSP00000286639	9606.ENSP00000384371	0	0	0	0	0.062	0.062	0.900	0.664	0.966
BATF	RORC	9606.ENSP00000286639	9606.ENSP00000327025	0	0	0	0	0	0.182	0.900	0.640	0.968
BATF	JUN	9606.ENSP00000286639	9606.ENSP00000360266	0	0	0	0	0.065	0.752	0	0.989	0.997
BATF	JUNB	9606.ENSP00000286639	9606.ENSP00000303315	0	0	0	0	0.107	0.919	0.900	0.909	0.999
BATF3	ATF3	9606.ENSP00000243440	9606.ENSP00000344352	0	0	0	0.747	0.062	0.681	0	0.324	0.711
BATF3	JUND	9606.ENSP00000243440	9606.ENSP00000252818	0	0	0	0	0.065	0.690	0	0.275	0.772
BATF3	ATF2	9606.ENSP00000243440	9606.ENSP00000264110	0	0	0	0	0	0.836	0	0	0.836
BATF3	JUNB	9606.ENSP00000243440	9606.ENSP00000303315	0	0	0	0	0.065	0.800	0	0.299	0.857
BATF3	BATF	9606.ENSP00000243440	9606.ENSP00000286639	0	0	0	0.890	0.062	0.271	0.800	0.730	0.863
BATF3	NFATC2	9606.ENSP00000243440	9606.ENSP00000379330	0	0	0	0	0	0	0.900	0.077	0.903
BATF3	NFATC1	9606.ENSP00000243440	9606.ENSP00000389377	0	0	0	0	0	0	0.900	0.070	0.903
BATF3	NFATC3	9606.ENSP00000243440	9606.ENSP00000300659	0	0	0	0	0	0	0.900	0.076	0.903
BATF3	FOS	9606.ENSP00000243440	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0.385	0.935
BATF3	JUN	9606.ENSP00000243440	9606.ENSP00000360266	0	0	0	0	0.065	0.840	0.900	0.978	0.999
BCL6	CCND1	9606.ENSP00000384371	9606.ENSP00000227507	0	0	0	0	0	0.056	0.900	0.666	0.965
BCL6	NANOG	9606.ENSP00000384371	9606.ENSP00000229307	0	0	0	0	0	0.077	0.900	0.167	0.916
BCL6	TWIST1	9606.ENSP00000384371	9606.ENSP00000242261	0	0	0	0	0	0.270	0.900	0.090	0.927
BCL6	RORA	9606.ENSP00000384371	9606.ENSP00000261523	0	0	0	0	0	0.066	0.900	0.483	0.947
BCL6	STAT3	9606.ENSP00000384371	9606.ENSP00000264657	0	0	0	0	0	0.285	0.900	0.729	0.979
BCL6	BATF	9606.ENSP00000384371	9606.ENSP00000286639	0	0	0	0	0.062	0.062	0.900	0.664	0.966
BCL6	BIRC5	9606.ENSP00000384371	9606.ENSP00000301633	0	0	0	0	0	0.056	0.900	0.108	0.908
BCL6	JUNB	9606.ENSP00000384371	9606.ENSP00000303315	0	0	0	0	0.076	0.315	0.900	0.270	0.947
BCL6	FOS	9606.ENSP00000384371	9606.ENSP00000306245	0	0	0	0	0.062	0.062	0.900	0.376	0.937
BCL6	SOX2	9606.ENSP00000384371	9606.ENSP00000323588	0	0	0	0	0	0.101	0.900	0.225	0.924
BCL6	RORC	9606.ENSP00000384371	9606.ENSP00000327025	0	0	0	0	0.062	0.066	0.900	0.531	0.953
BCL6	ZEB1	9606.ENSP00000384371	9606.ENSP00000354487	0	0	0	0.555	0	0.077	0.900	0.275	0.914
BCL6	POU2F1	9606.ENSP00000384371	9606.ENSP00000356840	0	0	0	0	0.053	0.062	0.900	0.491	0.948
BCL6	JUN	9606.ENSP00000384371	9606.ENSP00000360266	0	0	0	0	0.065	0.315	0	0.922	0.946
BCL6	PIM1	9606.ENSP00000384371	9606.ENSP00000362608	0	0	0	0	0.062	0.117	0.900	0.357	0.939
BCL6	FOXO1	9606.ENSP00000384371	9606.ENSP00000368880	0	0	0	0	0.062	0.078	0.900	0.610	0.961
BCL6	CEBPD	9606.ENSP00000384371	9606.ENSP00000386165	0	0	0	0	0.153	0.058	0.900	0.203	0.927
BCL6	HIF1A	9606.ENSP00000384371	9606.ENSP00000437955	0	0	0	0	0	0.058	0.900	0.374	0.935
BCL6	FOXO3	9606.ENSP00000384371	9606.ENSP00000385824	0	0	0	0	0	0.078	0.900	0.445	0.944
BCL6	MYC	9606.ENSP00000384371	9606.ENSP00000479618	0	0	0	0	0	0.058	0.900	0.763	0.975
BIRC5	CCND1	9606.ENSP00000301633	9606.ENSP00000227507	0	0	0	0	0.085	0	0.900	0.591	0.959
BIRC5	NANOG	9606.ENSP00000301633	9606.ENSP00000229307	0	0	0	0	0.084	0	0.900	0.260	0.926
BIRC5	TWIST1	9606.ENSP00000301633	9606.ENSP00000242261	0	0	0	0	0	0	0.900	0.246	0.921
BIRC5	RORA	9606.ENSP00000301633	9606.ENSP00000261523	0	0	0	0	0	0	0.900	0.070	0.903
BIRC5	STAT3	9606.ENSP00000301633	9606.ENSP00000264657	0	0	0	0	0	0.292	0.900	0.435	0.956
BIRC5	BATF	9606.ENSP00000301633	9606.ENSP00000286639	0	0	0	0	0	0.062	0.900	0	0.902
BIRC5	RORC	9606.ENSP00000301633	9606.ENSP00000327025	0	0	0	0	0	0	0.900	0	0.900
BIRC5	CEBPD	9606.ENSP00000301633	9606.ENSP00000386165	0	0	0	0	0	0	0.900	0.046	0.900
BIRC5	POU2F1	9606.ENSP00000301633	9606.ENSP00000356840	0	0	0	0	0	0	0.900	0.048	0.900
BIRC5	JUNB	9606.ENSP00000301633	9606.ENSP00000303315	0	0	0	0	0	0	0.900	0.055	0.901
BIRC5	BCL6	9606.ENSP00000301633	9606.ENSP00000384371	0	0	0	0	0	0.056	0.900	0.108	0.908
BIRC5	PIM1	9606.ENSP00000301633	9606.ENSP00000362608	0	0	0	0	0.052	0.143	0.900	0.074	0.914
BIRC5	ZEB1	9606.ENSP00000301633	9606.ENSP00000354487	0	0	0	0	0.061	0	0.900	0.212	0.919
BIRC5	FOXO1	9606.ENSP00000301633	9606.ENSP00000368880	0	0	0	0	0	0.059	0.900	0.254	0.923
BIRC5	SOX2	9606.ENSP00000301633	9606.ENSP00000323588	0	0	0	0	0	0	0.900	0.282	0.925
BIRC5	FOXO3	9606.ENSP00000301633	9606.ENSP00000385824	0	0	0	0	0	0.059	0.900	0.289	0.927
BIRC5	HIF1A	9606.ENSP00000301633	9606.ENSP00000437955	0	0	0	0	0	0	0.900	0.334	0.930
BIRC5	FOS	9606.ENSP00000301633	9606.ENSP00000306245	0	0	0	0	0	0.062	0.900	0.321	0.930
BIRC5	MYC	9606.ENSP00000301633	9606.ENSP00000479618	0	0	0	0	0.102	0.063	0.900	0.556	0.957
CCND1	RORC	9606.ENSP00000227507	9606.ENSP00000327025	0	0	0	0	0	0	0.900	0.048	0.900
CCND1	BATF	9606.ENSP00000227507	9606.ENSP00000286639	0	0	0	0	0	0	0.900	0.090	0.905
CCND1	RORA	9606.ENSP00000227507	9606.ENSP00000261523	0	0	0	0	0	0	0.900	0.141	0.910
CCND1	POU2F1	9606.ENSP00000227507	9606.ENSP00000356840	0	0	0	0	0.062	0	0.900	0.123	0.910
CCND1	PIM1	9606.ENSP00000227507	9606.ENSP00000362608	0	0	0	0	0	0	0.900	0.191	0.915
CCND1	CEBPD	9606.ENSP00000227507	9606.ENSP00000386165	0	0	0	0	0	0	0.900	0.323	0.929
CCND1	JUNB	9606.ENSP00000227507	9606.ENSP00000303315	0	0	0	0	0	0	0.900	0.346	0.931
CCND1	ATF2	9606.ENSP00000227507	9606.ENSP00000264110	0	0	0	0	0	0.270	0.900	0.334	0.947
CCND1	TWIST1	9606.ENSP00000227507	9606.ENSP00000242261	0	0	0	0	0.083	0	0.900	0.515	0.951
CCND1	NANOG	9606.ENSP00000227507	9606.ENSP00000229307	0	0	0	0	0	0	0.900	0.593	0.957
CCND1	SMAD4	9606.ENSP00000227507	9606.ENSP00000341551	0	0	0	0	0	0	0.900	0.602	0.958
CCND1	CREB1	9606.ENSP00000227507	9606.ENSP00000387699	0	0	0	0	0	0	0.900	0.609	0.959
CCND1	ZEB1	9606.ENSP00000227507	9606.ENSP00000354487	0	0	0	0	0	0	0.900	0.610	0.959
CCND1	BIRC5	9606.ENSP00000227507	9606.ENSP00000301633	0	0	0	0	0.085	0	0.900	0.591	0.959
CCND1	FOXO3	9606.ENSP00000227507	9606.ENSP00000385824	0	0	0	0	0	0	0.900	0.640	0.962
CCND1	SOX2	9606.ENSP00000227507	9606.ENSP00000323588	0	0	0	0	0	0	0.900	0.671	0.965
CCND1	BCL6	9606.ENSP00000227507	9606.ENSP00000384371	0	0	0	0	0	0.056	0.900	0.666	0.965
CCND1	HIF1A	9606.ENSP00000227507	9606.ENSP00000437955	0	0	0	0	0	0	0.900	0.686	0.967
CCND1	FOXO1	9606.ENSP00000227507	9606.ENSP00000368880	0	0	0	0	0	0	0.900	0.732	0.972
CCND1	JUN	9606.ENSP00000227507	9606.ENSP00000360266	0	0	0	0	0	0.270	0.900	0.774	0.982
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0	0.494	0.900	0.775	0.987
CCND1	MYC	9606.ENSP00000227507	9606.ENSP00000479618	0	0	0	0	0.069	0	0.900	0.919	0.991
CCND1	EP300	9606.ENSP00000227507	9606.ENSP00000263253	0	0	0	0	0.062	0.835	0.900	0.754	0.995
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0	0	0	0.049	0.708	0.900	0.854	0.995
CEBPD	CCND1	9606.ENSP00000386165	9606.ENSP00000227507	0	0	0	0	0	0	0.900	0.323	0.929
CEBPD	NANOG	9606.ENSP00000386165	9606.ENSP00000229307	0	0	0	0	0	0	0.900	0.141	0.910
CEBPD	TWIST1	9606.ENSP00000386165	9606.ENSP00000242261	0	0	0	0	0	0	0.900	0.120	0.908
CEBPD	RORA	9606.ENSP00000386165	9606.ENSP00000261523	0	0	0	0	0	0.070	0.900	0.188	0.917
CEBPD	STAT3	9606.ENSP00000386165	9606.ENSP00000264657	0	0	0	0	0.062	0.066	0.900	0.470	0.947
CEBPD	BATF	9606.ENSP00000386165	9606.ENSP00000286639	0	0	0	0	0	0.302	0.900	0.146	0.935
CEBPD	BIRC5	9606.ENSP00000386165	9606.ENSP00000301633	0	0	0	0	0	0	0.900	0.046	0.900
CEBPD	JUNB	9606.ENSP00000386165	9606.ENSP00000303315	0	0	0	0	0.206	0.102	0.900	0.217	0.936
CEBPD	FOS	9606.ENSP00000386165	9606.ENSP00000306245	0	0	0	0	0.144	0.078	0.900	0.464	0.952
CEBPD	SOX2	9606.ENSP00000386165	9606.ENSP00000323588	0	0	0	0	0	0.102	0.900	0.418	0.943
CEBPD	RORC	9606.ENSP00000386165	9606.ENSP00000327025	0	0	0	0	0	0.070	0.900	0.095	0.908
CEBPD	ZEB1	9606.ENSP00000386165	9606.ENSP00000354487	0	0	0	0	0.064	0	0.900	0.134	0.911
CEBPD	POU2F1	9606.ENSP00000386165	9606.ENSP00000356840	0	0	0	0	0	0.058	0.900	0.180	0.916
CEBPD	PIM1	9606.ENSP00000386165	9606.ENSP00000362608	0	0	0	0	0	0.139	0.900	0	0.910
CEBPD	FOXO1	9606.ENSP00000386165	9606.ENSP00000368880	0	0	0	0	0	0.078	0.900	0.325	0.932
CEBPD	BCL6	9606.ENSP00000386165	9606.ENSP00000384371	0	0	0	0	0.153	0.058	0.900	0.203	0.927
CEBPD	FOXO3	9606.ENSP00000386165	9606.ENSP00000385824	0	0	0	0	0	0.078	0.900	0.209	0.920
CEBPD	HIF1A	9606.ENSP00000386165	9606.ENSP00000437955	0	0	0	0	0	0	0.900	0.293	0.926
CEBPD	MYC	9606.ENSP00000386165	9606.ENSP00000479618	0	0	0	0	0.063	0.102	0.900	0.394	0.942
CREB1	CCND1	9606.ENSP00000387699	9606.ENSP00000227507	0	0	0	0	0	0	0.900	0.609	0.959
CREB1	EGR1	9606.ENSP00000387699	9606.ENSP00000239938	0	0	0	0	0.055	0.062	0.900	0.726	0.972
CREB1	EGR2	9606.ENSP00000387699	9606.ENSP00000242480	0	0	0	0	0	0.062	0.650	0.471	0.811
CREB1	FOSB	9606.ENSP00000387699	9606.ENSP00000245919	0	0	0	0	0	0	0.650	0.673	0.880
CREB1	JUND	9606.ENSP00000387699	9606.ENSP00000252818	0	0	0	0	0	0.273	0.650	0.708	0.919
CREB1	EP300	9606.ENSP00000387699	9606.ENSP00000263253	0	0	0	0	0.062	0.889	0.900	0.991	0.999
CREB1	ATF2	9606.ENSP00000387699	9606.ENSP00000264110	0	0	0	0	0.063	0.272	0.900	0.889	0.991
CREB1	STAT3	9606.ENSP00000387699	9606.ENSP00000264657	0	0	0	0	0	0.270	0.650	0.747	0.930
CREB1	FOSL2	9606.ENSP00000387699	9606.ENSP00000264716	0	0	0	0	0.061	0	0	0.740	0.747
CREB1	SRF	9606.ENSP00000387699	9606.ENSP00000265354	0	0	0	0	0	0.213	0.600	0.604	0.864
CREB1	JUNB	9606.ENSP00000387699	9606.ENSP00000303315	0	0	0	0	0.087	0.057	0.650	0.538	0.842
CREB1	FOS	9606.ENSP00000387699	9606.ENSP00000306245	0	0	0	0	0	0	0.900	0.910	0.990
CREB1	FOSL1	9606.ENSP00000387699	9606.ENSP00000310170	0	0	0	0	0	0	0.650	0.518	0.824
CREB1	EGR3	9606.ENSP00000387699	9606.ENSP00000318057	0	0	0	0	0	0.062	0.650	0.459	0.806
CREB1	ATF3	9606.ENSP00000387699	9606.ENSP00000344352	0	0	0	0	0.063	0	0	0.815	0.820
CREB1	ARC	9606.ENSP00000387699	9606.ENSP00000349022	0	0	0	0	0	0	0.900	0.575	0.955
CREB1	JUN	9606.ENSP00000387699	9606.ENSP00000360266	0	0	0	0	0	0.492	0.900	0.977	0.998
CREB1	FOXO1	9606.ENSP00000387699	9606.ENSP00000368880	0	0	0	0	0	0.077	0	0.889	0.894
CREB1	FOXO3	9606.ENSP00000387699	9606.ENSP00000385824	0	0	0	0	0.062	0.293	0	0.603	0.714
CREB1	NFATC1	9606.ENSP00000387699	9606.ENSP00000389377	0	0	0	0	0	0.298	0	0.738	0.808
CREB1	HIF1A	9606.ENSP00000387699	9606.ENSP00000437955	0	0	0	0	0.062	0.270	0.900	0.814	0.985
EGR1	MYC	9606.ENSP00000239938	9606.ENSP00000479618	0	0	0	0	0.063	0.058	0	0.734	0.746
EGR1	EGR3	9606.ENSP00000239938	9606.ENSP00000318057	0	0	0	0.886	0.631	0	0.300	0.740	0.753
EGR1	FOSL2	9606.ENSP00000239938	9606.ENSP00000264716	0	0	0	0	0.062	0.499	0	0.530	0.760
EGR1	ATF3	9606.ENSP00000239938	9606.ENSP00000344352	0	0	0	0	0.254	0.062	0	0.716	0.784
EGR1	ATF2	9606.ENSP00000239938	9606.ENSP00000264110	0	0	0	0	0	0.345	0.650	0.324	0.831
EGR1	IER2	9606.ENSP00000239938	9606.ENSP00000465617	0	0	0	0	0.633	0	0	0.609	0.850
EGR1	FOSL1	9606.ENSP00000239938	9606.ENSP00000310170	0	0	0	0	0.089	0.062	0.650	0.639	0.877
EGR1	EGR2	9606.ENSP00000239938	9606.ENSP00000242480	0	0	0	0.843	0.810	0	0.300	0.834	0.879
EGR1	NFATC3	9606.ENSP00000239938	9606.ENSP00000300659	0	0	0	0	0	0.056	0.900	0.252	0.923
EGR1	NFATC2	9606.ENSP00000239938	9606.ENSP00000379330	0	0	0	0	0	0.299	0.900	0.336	0.949
EGR1	JUND	9606.ENSP00000239938	9606.ENSP00000252818	0	0	0	0	0.065	0.700	0.650	0.638	0.959
EGR1	SRF	9606.ENSP00000239938	9606.ENSP00000265354	0	0	0	0	0.049	0.066	0.900	0.611	0.960
EGR1	ARC	9606.ENSP00000239938	9606.ENSP00000349022	0	0	0	0	0.064	0	0.900	0.655	0.964
EGR1	JUN	9606.ENSP00000239938	9606.ENSP00000360266	0	0	0	0	0.305	0.262	0.650	0.851	0.969
EGR1	CREB1	9606.ENSP00000239938	9606.ENSP00000387699	0	0	0	0	0.055	0.062	0.900	0.726	0.972
EGR1	NFATC1	9606.ENSP00000239938	9606.ENSP00000389377	0	0	0	0	0	0.281	0.900	0.684	0.975
EGR1	FOSB	9606.ENSP00000239938	9606.ENSP00000245919	0	0	0	0	0.753	0.062	0.650	0.777	0.979
EGR1	EP300	9606.ENSP00000239938	9606.ENSP00000263253	0	0	0	0	0.062	0.849	0.650	0.680	0.982
EGR1	JUNB	9606.ENSP00000239938	9606.ENSP00000303315	0	0	0	0	0.705	0.700	0.650	0.517	0.983
EGR1	FOS	9606.ENSP00000239938	9606.ENSP00000306245	0	0	0	0	0.961	0.062	0.650	0.948	0.999
EGR2	EGR1	9606.ENSP00000242480	9606.ENSP00000239938	0	0	0	0.843	0.810	0	0.300	0.834	0.879
EGR2	JUNB	9606.ENSP00000242480	9606.ENSP00000303315	0	0	0	0	0.186	0.101	0.650	0.341	0.808
EGR2	FOSL1	9606.ENSP00000242480	9606.ENSP00000310170	0	0	0	0	0.062	0.062	0.650	0.455	0.809
EGR2	JUND	9606.ENSP00000242480	9606.ENSP00000252818	0	0	0	0	0	0.101	0.650	0.446	0.810
EGR2	CREB1	9606.ENSP00000242480	9606.ENSP00000387699	0	0	0	0	0	0.062	0.650	0.471	0.811
EGR2	EP300	9606.ENSP00000242480	9606.ENSP00000263253	0	0	0	0	0	0.126	0.800	0.187	0.845
EGR2	JUN	9606.ENSP00000242480	9606.ENSP00000360266	0	0	0	0	0.107	0.101	0.600	0.609	0.858
EGR2	FOS	9606.ENSP00000242480	9606.ENSP00000306245	0	0	0	0	0.269	0.062	0.650	0.689	0.915
EGR2	ARC	9606.ENSP00000242480	9606.ENSP00000349022	0	0	0	0	0.185	0	0.900	0.234	0.932
EGR2	SRF	9606.ENSP00000242480	9606.ENSP00000265354	0	0	0	0	0.062	0.066	0.900	0.366	0.937
EGR2	FOSB	9606.ENSP00000242480	9606.ENSP00000245919	0	0	0	0	0.565	0.062	0.650	0.649	0.943
EGR2	EGR3	9606.ENSP00000242480	9606.ENSP00000318057	0	0	0	0.915	0.802	0	0.800	0.866	0.961
EGR3	EGR1	9606.ENSP00000318057	9606.ENSP00000239938	0	0	0	0.886	0.631	0	0.300	0.740	0.753
EGR3	EGR2	9606.ENSP00000318057	9606.ENSP00000242480	0	0	0	0.915	0.802	0	0.800	0.866	0.961
EGR3	FOSB	9606.ENSP00000318057	9606.ENSP00000245919	0	0	0	0	0.271	0.062	0.650	0.605	0.892
EGR3	JUND	9606.ENSP00000318057	9606.ENSP00000252818	0	0	0	0	0.062	0.101	0.650	0.314	0.770
EGR3	EP300	9606.ENSP00000318057	9606.ENSP00000263253	0	0	0	0	0	0.126	0.800	0.161	0.840
EGR3	SRF	9606.ENSP00000318057	9606.ENSP00000265354	0	0	0	0	0	0.066	0.650	0.374	0.777
EGR3	JUNB	9606.ENSP00000318057	9606.ENSP00000303315	0	0	0	0	0.100	0.101	0.650	0.376	0.799
EGR3	FOS	9606.ENSP00000318057	9606.ENSP00000306245	0	0	0	0	0.139	0.062	0.650	0.563	0.859
EGR3	FOSL1	9606.ENSP00000318057	9606.ENSP00000310170	0	0	0	0	0.054	0.062	0.650	0.400	0.788
EGR3	CREB1	9606.ENSP00000318057	9606.ENSP00000387699	0	0	0	0	0	0.062	0.650	0.459	0.806
EGR3	ARC	9606.ENSP00000318057	9606.ENSP00000349022	0	0	0	0	0.096	0	0.900	0.268	0.928
EP300	CCND1	9606.ENSP00000263253	9606.ENSP00000227507	0	0	0	0	0.062	0.835	0.900	0.754	0.995
EP300	EGR1	9606.ENSP00000263253	9606.ENSP00000239938	0	0	0	0	0.062	0.849	0.650	0.680	0.982
EP300	TWIST1	9606.ENSP00000263253	9606.ENSP00000242261	0	0	0	0	0	0.270	0	0.699	0.771
EP300	EGR2	9606.ENSP00000263253	9606.ENSP00000242480	0	0	0	0	0	0.126	0.800	0.187	0.845
EP300	JUND	9606.ENSP00000263253	9606.ENSP00000252818	0	0	0	0	0	0.718	0.900	0.597	0.987
